task,explained_output,rank,modality,feature,mean_abs_shap,mean_shap,feature_shap_correlation,direction
pam50,Basal-like,13,clinical,nodal_N0,0.043192562026935555,0.009006666349231432,0.037684015674234746,mixed (no consistent direction across patients)
pam50,Basal-like,14,genomic,CDC6,0.038627242066446854,0.00011708479826401859,-0.5266609486590758,higher feature value decreases the output
pam50,Basal-like,15,genomic,MLPH,0.038048748090140076,0.0022445567269041714,-0.8058967524373984,higher feature value decreases the output
pam50,Basal-like,16,genomic,PHGDH,0.03649651701734727,0.007979375741632981,0.6069038041166099,higher feature value increases the output
pam50,Basal-like,17,clinical,stage_I,0.03501193402390117,0.00013248963172664418,-0.9129144966214763,higher feature value decreases the output
pam50,Basal-like,18,genomic,RRM2,0.034952534846058356,0.0001187747860045303,0.7177930108262345,higher feature value increases the output
pam50,Basal-like,19,genomic,ACTR3B,0.03493559867333194,0.003522904094032043,0.6426880822860905,higher feature value increases the output
pam50,Basal-like,20,clinical,nodal_N1,0.03239717397613186,0.00160334911666143,-0.8432795534643459,higher feature value decreases the output
pam50,Normal-like,1,genomic,ESR1,0.09893680980737218,0.016837914220237206,-0.8901651559483214,higher feature value decreases the output
pam50,Normal-like,2,genomic,FOXC1,0.08700292136352704,0.01045747720288699,0.8130274262834873,higher feature value increases the output
pam50,Normal-like,3,genomic,CEP55,0.06780365383858168,0.001092802806984608,-0.932377705774103,higher feature value decreases the output
pam50,Normal-like,4,clinical,age,0.05047381449966579,-0.0005603972513022374,-0.48886621201231567,higher feature value decreases the output
pam50,Normal-like,5,genomic,KRT17,0.04731582535044718,0.005977870980732445,0.7517918519267951,higher feature value increases the output
pam50,Normal-like,6,genomic,ANLN,0.04560000144044607,0.00033614559232655736,-0.7923083667998048,higher feature value decreases the output
pam50,Normal-like,7,clinical,stage_III,0.036212453600783526,-0.001553438335578535,0.824240940178576,higher feature value increases the output
pam50,Normal-like,8,genomic,CDC6,0.0329575117204206,-0.0037135178367286178,-0.8600018502097384,higher feature value decreases the output
pam50,Normal-like,9,clinical,nodal_N0,0.030967372420533698,0.007483424214146987,0.18283747116331295,higher feature value increases the output
pam50,Normal-like,10,genomic,CCNB1,0.022549793526800754,0.003317098268592832,-0.9022691387878613,higher feature value decreases the output
pam50,Normal-like,11,genomic,GRB7,0.02148807060642239,-0.005761979108207522,-0.8144200984965568,higher feature value decreases the output
pam50,Normal-like,12,genomic,MAPT,0.020311500319895294,-0.0029174276820834546,0.41700103907485314,higher feature value increases the output
pam50,Normal-like,13,genomic,MLPH,0.019557886757537574,0.0016628440660304453,-0.8531925008465782,higher feature value decreases the output
pam50,Normal-like,14,clinical,stage_II,0.019356823372722216,0.0027547821846640092,-0.5547004703293784,higher feature value decreases the output
pam50,Normal-like,15,genomic,EXO1,0.016795569892953166,0.000902742246992125,-0.8933135561922964,higher feature value decreases the output
pam50,Normal-like,16,genomic,MYBL2,0.015557294963279672,0.00034355030657684315,-0.9241734714798127,higher feature value decreases the output
pam50,Normal-like,17,genomic,BIRC5,0.01483517563862291,-0.0016614123518992028,-0.7947937386343366,higher feature value decreases the output
pam50,Normal-like,18,genomic,PHGDH,0.014372459502155351,0.000966146974324667,-0.6465191444425995,higher feature value decreases the output
pam50,Normal-like,19,genomic,EGFR,0.013120799862811883,-0.0007693763204892354,0.47808547490506403,higher feature value increases the output
pam50,Normal-like,20,genomic,CENPF,0.012429439570391878,0.0021238855409446067,-0.7776405708181878,higher feature value decreases the output
survival,risk_score,1,clinical,age,0.46517650836150254,-0.036387825023024845,0.8252300273085312,higher feature value increases the output
survival,risk_score,2,clinical,nodal_N0,0.36097790699125515,0.011381406055184324,-0.9056162520214242,higher feature value decreases the output
survival,risk_score,3,clinical,nodal_N2,0.1345090312566794,0.0004933627038491321,0.9445724631154766,higher feature value increases the output
survival,risk_score,4,clinical,stage_III,0.13036758439195203,-0.01121153979900813,0.7786048637300292,higher feature value increases the output
survival,risk_score,5,clinical,stage_II,0.12041908787684356,-0.008859971381956584,-0.7352503329561996,higher feature value decreases the output
survival,risk_score,6,genomic,MAPT,0.082977672002695,0.02007339777111809,-0.8214843481939242,higher feature value decreases the output
survival,risk_score,7,genomic,ANLN,0.07831487279926466,0.0076263185416502914,0.6655340938020546,higher feature value increases the output
survival,risk_score,8,genomic,CEP55,0.07361374890425719,-0.009558849807771157,0.8295911215563938,higher feature value increases the output
survival,risk_score,9,clinical,nodal_N1,0.07194473439715589,0.02281748700569122,0.6971411121722088,higher feature value increases the output
survival,risk_score,10,genomic,CDC6,0.06665649235916207,0.0038357353601733367,0.8249777933439832,higher feature value increases the output
survival,risk_score,11,genomic,ESR1,0.05873400837380152,0.004418068654242221,-0.3315666023780274,higher feature value decreases the output
survival,risk_score,12,genomic,FOXC1,0.058338760891037546,-0.0004698020053711661,-0.5949888147853588,higher feature value decreases the output
survival,risk_score,13,genomic,NAT1,0.05641338551559012,0.006042572654109792,-0.8414014835966511,higher feature value decreases the output
survival,risk_score,14,clinical,stage_I,0.049349287044206665,-0.002559458992231594,-0.7904420375491558,higher feature value decreases the output
survival,risk_score,15,clinical,stage_IV,0.04541629895415765,-0.012603542755266501,0.9800120631635431,higher feature value increases the output
survival,risk_score,16,genomic,KRT17,0.041986231607055974,-0.008421542700730606,-0.7720541867512986,higher feature value decreases the output
survival,risk_score,17,genomic,CCNB1,0.04172959884432292,-0.013167458620333602,0.7654039139332459,higher feature value increases the output
survival,risk_score,18,genomic,RRM2,0.030736214504067855,0.0010011417799634815,0.7184922262906562,higher feature value increases the output
survival,risk_score,19,genomic,CENPF,0.0295118241706949,-0.007777552042920012,0.5272013035369705,higher feature value increases the output
survival,risk_score,20,genomic,CXXC5,0.028948084733667806,-0.00041880772031645534,-0.7445457834835958,higher feature value decreases the output
