task,modality,feature,mean_abs_shap,rank
pam50_luminal_b,clinical,nodal_N2,0.030341396007118975,17
pam50_luminal_b,genomic,FGFR4,0.029847550861685,18
pam50_luminal_b,genomic,GRB7,0.028987791570219863,19
pam50_luminal_b,clinical,stage_I,0.02786389818665841,20
pam50_luminal_b,genomic,BIRC5,0.027600019690860057,21
pam50_luminal_b,genomic,RRM2,0.027432468816760387,22
pam50_luminal_b,genomic,CXXC5,0.02688544677755272,23
pam50_luminal_b,genomic,EGFR,0.0253729866035917,24
pam50_luminal_b,genomic,ACTR3B,0.02503603485621064,25
pam50_luminal_b,genomic,PHGDH,0.02393321165435544,26
pam50_luminal_b,genomic,GPR160,0.021974015615830934,27
pam50_luminal_b,genomic,FOXA1,0.02187230297217079,28
pam50_luminal_b,genomic,SFRP1,0.020833817150690357,29
pam50_luminal_b,genomic,CENPF,0.02049664457415504,30
pam50_luminal_b,genomic,MYBL2,0.020361192882394213,31
pam50_luminal_b,genomic,TMEM45B,0.019418861656087787,32
pam50_luminal_b,genomic,BLVRA,0.01932489994138935,33
pam50_luminal_b,genomic,KRT14,0.01759986763468889,34
pam50_luminal_b,clinical,stage_III,0.016827793813734383,35
pam50_luminal_b,genomic,PGR,0.016177031991297906,36
pam50_luminal_b,genomic,EXO1,0.01545984046906759,37
pam50_luminal_b,genomic,BCL2,0.014876027745859851,38
pam50_luminal_b,clinical,stage_II,0.01482939204126163,39
pam50_luminal_b,genomic,MYC,0.011919782408892757,40
pam50_luminal_b,genomic,MDM2,0.011199000852978496,41
pam50_luminal_b,genomic,KIF2C,0.011001610652272776,42
pam50_luminal_b,genomic,SLC39A6,0.010975628202741405,43
pam50_luminal_b,genomic,MMP11,0.010707733035110098,44
pam50_luminal_b,genomic,CDC20,0.010667224796397605,45
pam50_luminal_b,genomic,BAG1,0.008984210687117163,46
pam50_luminal_b,genomic,ORC6L,0.008782901558260696,47
pam50_luminal_b,genomic,TYMS,0.00863014689304308,48
pam50_luminal_b,genomic,KRT5,0.008379252173998139,49
pam50_luminal_b,clinical,stage_IV,0.008349072802481542,50
pam50_luminal_b,genomic,MIA,0.008109892921969166,51
pam50_luminal_b,clinical,nodal_N3,0.007856200710735674,52
pam50_luminal_b,genomic,UBE2C,0.007851817448164173,53
pam50_luminal_b,genomic,NUF2,0.0074391058984500154,54
pam50_luminal_b,genomic,MELK,0.0062912979831169545,55
pam50_luminal_b,genomic,PTTG1,0.005750385512346363,56
pam50_luminal_b,genomic,UBE2T,0.0051917566935500625,57
pam50_luminal_b,genomic,MKI67,0.00509395013460231,58
pam50_luminal_b,genomic,NDC80,0.004871052182465172,59
pam50_luminal_b,clinical,stage_Unknown,0.0019298204688215689,60
pam50_luminal_b,clinical,nodal_Unknown,0.0014942036104643461,61
pam50_luminal_b,clinical,sex_male,0.0013772032529453604,62
pam50_her2_enriched,genomic,ESR1,0.32702096894878785,1
pam50_her2_enriched,genomic,ANLN,0.17455259027858944,2
pam50_her2_enriched,genomic,MAPT,0.15638239246448388,3
pam50_her2_enriched,genomic,CEP55,0.12571486894756156,4
pam50_her2_enriched,genomic,CDC6,0.12177189460070721,5
pam50_her2_enriched,genomic,NAT1,0.11910739512206846,6
pam50_her2_enriched,genomic,FOXC1,0.10430794461623519,7
pam50_her2_enriched,genomic,ERBB2,0.07565362235472543,8
pam50_her2_enriched,clinical,age,0.0712629880381204,9
pam50_her2_enriched,genomic,RRM2,0.0710753377712634,10
pam50_her2_enriched,genomic,KRT17,0.06940123767876429,11
pam50_her2_enriched,genomic,CXXC5,0.06872020926377811,12
pam50_her2_enriched,genomic,CENPF,0.06608285968311663,13
pam50_her2_enriched,genomic,CCNB1,0.06295274835798662,14
pam50_her2_enriched,genomic,GRB7,0.055950128303039075,15
pam50_her2_enriched,clinical,nodal_N0,0.04909997239053627,16
pam50_her2_enriched,clinical,stage_II,0.048842641363194605,17
pam50_her2_enriched,clinical,nodal_N2,0.04720239056323462,18
pam50_her2_enriched,genomic,MLPH,0.04630432002156806,19
pam50_her2_enriched,genomic,PHGDH,0.045821765259977824,20
pam50_her2_enriched,genomic,EXO1,0.04341913786904174,21
pam50_her2_enriched,genomic,TMEM45B,0.042427697255279014,22
pam50_her2_enriched,genomic,BLVRA,0.04069219280103751,23
pam50_her2_enriched,genomic,CCNE1,0.03438267839965043,24
pam50_her2_enriched,genomic,BCL2,0.029112653769244136,25
pam50_her2_enriched,genomic,FGFR4,0.02739776890764974,26
pam50_her2_enriched,genomic,CDH3,0.027296194695618982,27
pam50_her2_enriched,genomic,GPR160,0.02681150892207143,28
pam50_her2_enriched,clinical,stage_III,0.025445824166495885,29
pam50_her2_enriched,clinical,stage_I,0.025055706634794176,30
pam50_her2_enriched,genomic,PGR,0.02420075751610299,31
pam50_her2_enriched,genomic,MYBL2,0.024172257720301592,32
pam50_her2_enriched,genomic,SLC39A6,0.024047249182383275,33
pam50_her2_enriched,genomic,BIRC5,0.02372437090238589,34
pam50_her2_enriched,genomic,KRT14,0.022782754492907387,35
pam50_her2_enriched,genomic,ACTR3B,0.02247307889055492,36
pam50_her2_enriched,clinical,nodal_N1,0.02097932709725718,37
pam50_her2_enriched,genomic,MIA,0.017758366090769945,38
pam50_her2_enriched,genomic,MYC,0.017432483241319303,39
pam50_her2_enriched,genomic,MDM2,0.01661256830939614,40
pam50_her2_enriched,genomic,BAG1,0.01610849006009617,41
pam50_her2_enriched,genomic,EGFR,0.014753261987430124,42
pam50_her2_enriched,genomic,FOXA1,0.014483495590350143,43
pam50_her2_enriched,genomic,MELK,0.013727440424500014,44
pam50_her2_enriched,genomic,KRT5,0.013416326615705366,45
pam50_her2_enriched,genomic,SFRP1,0.012391232056275583,46
pam50_her2_enriched,genomic,ORC6L,0.012300618416584726,47
pam50_her2_enriched,clinical,nodal_N3,0.011369223984924237,48
pam50_her2_enriched,genomic,MKI67,0.011358038096875241,49
pam50_her2_enriched,genomic,NDC80,0.011163814168310414,50
pam50_her2_enriched,genomic,UBE2T,0.010295127478598717,51
pam50_her2_enriched,genomic,MMP11,0.010233890088750476,52
pam50_her2_enriched,genomic,UBE2C,0.008770351398473849,53
pam50_her2_enriched,genomic,CDC20,0.008097470586896078,54
pam50_her2_enriched,clinical,stage_IV,0.008015588440509524,55
pam50_her2_enriched,genomic,KIF2C,0.007975943822830771,56
pam50_her2_enriched,genomic,TYMS,0.007075814761714671,57
pam50_her2_enriched,genomic,PTTG1,0.005355524535023832,58
pam50_her2_enriched,clinical,stage_Unknown,0.004657553385641781,59
pam50_her2_enriched,genomic,NUF2,0.004605791628658173,60
pam50_her2_enriched,clinical,sex_male,0.0020733859157014522,61
pam50_her2_enriched,clinical,nodal_Unknown,0.001816914216075145,62
pam50_basal_like,genomic,FOXC1,0.5590294173991954,1
pam50_basal_like,genomic,ESR1,0.5094609191131978,2
pam50_basal_like,genomic,CDH3,0.09565648089110569,3
pam50_basal_like,genomic,CEP55,0.07882811757708219,4
pam50_basal_like,genomic,CCNE1,0.0651473928503824,5
pam50_basal_like,genomic,KRT17,0.06499831976224275,6
pam50_basal_like,clinical,nodal_N2,0.05869400253612974,7
pam50_basal_like,clinical,age,0.05482387464966,8
pam50_basal_like,genomic,MAPT,0.052833803320740884,9
pam50_basal_like,genomic,NAT1,0.04912637497464613,10
pam50_basal_like,genomic,ERBB2,0.04860021059812929,11
pam50_basal_like,genomic,ANLN,0.04547662558184459,12
pam50_basal_like,clinical,nodal_N0,0.043192562026935555,13
pam50_basal_like,genomic,CDC6,0.038627242066446854,14
pam50_basal_like,genomic,MLPH,0.038048748090140076,15
pam50_basal_like,genomic,PHGDH,0.03649651701734727,16
pam50_basal_like,clinical,stage_I,0.03501193402390117,17
pam50_basal_like,genomic,RRM2,0.034952534846058356,18
pam50_basal_like,genomic,ACTR3B,0.03493559867333194,19
pam50_basal_like,clinical,nodal_N1,0.03239717397613186,20
pam50_basal_like,genomic,CCNB1,0.03226758063275644,21
pam50_basal_like,clinical,stage_III,0.03172880407756655,22
pam50_basal_like,genomic,EGFR,0.030865363948578212,23
pam50_basal_like,genomic,FGFR4,0.030462365669022134,24
pam50_basal_like,genomic,SFRP1,0.02814982771216852,25
pam50_basal_like,genomic,GPR160,0.027618570393757813,26
pam50_basal_like,genomic,CXXC5,0.027076811241360802,27
